tv;seriale;rodzenstwo;akademik;studia;oczy;torun;wzrost;stanowisko
1;0;1;0;1;2;4;187;3
0;1;0;0;1;1;5;200;3
0;1;0;0;1;1;5;182;3
0;0;3;1;1;2;4;181;7
0;1;1;0;1;1;5;187;3
0;1;2;1;1;3;5;184;3
0;1;2;0;1;2;4;180;3
0;1;1;0;1;2;5;174;2
1;0;2;0;1;3;5;184;1
0;0;1;0;1;1;4;180;4
0;1;1;0;1;1;4;185;3
0;1;3;0;1;1;2;170;3
1;0;3;0;1;3;4;163;3
0;0;1;0;1;1;4;188;3
1;0;1;1;1;2;5;180;3
0;0;1;0;0;1;4;170;3
0;1;1;0;1;1;3;175;7
0;0;3;0;1;1;5;183;3
0;0;1;0;1;2;5;185;7
0;0;2;1;1;2;3;170;7
0;0;0;0;1;4;5;171;1
0;0;2;0;1;2;5;174;7
0;1;4;0;1;3;5;195;3
0;1;0;0;0;2;4;192;4
0;0;1;0;1;1;5;175;3
0;0;1;0;1;1;4;173;3
2;0;1;0;1;2;3;182;3
2;1;1;0;1;2;4;190;2
1;1;1;0;1;2;5;160;3
1;0;1;0;1;3;5;151;1
0;0;2;0;1;1;4;172;2
0;0;1;0;1;2;5;195;3
1;1;1;0;1;2;5;187;2
